# prodcon: sc-disconn-ms
# configuration: -p 40 -sc_disconn_seed 13 -c 4000 -operations 1000000
# recorded at: Thu Nov 19 22:50:13 CET 2015
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 2759781 ,"operations": 1000000 ,"c": 4000 ,"throughput": 21740
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 2772461 ,"operations": 1000000 ,"c": 4000 ,"throughput": 21641
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 2819687 ,"operations": 1000000 ,"c": 4000 ,"throughput": 21278
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 2887666 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24241
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 2825292 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24776
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 2886338 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24252
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 2889064 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24229
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 2884901 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24264
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 2869255 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24396
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 2867836 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24408
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 2848969 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24570
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 2880281 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24303
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 2852110 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24543
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 3177065 ,"operations": 1000000 ,"c": 4000 ,"throughput": 25180
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 3266126 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24493
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 3246583 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24641
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 3300261 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24240
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 3252896 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24593
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 3176740 ,"operations": 1000000 ,"c": 4000 ,"throughput": 25183
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 3171056 ,"operations": 1000000 ,"c": 4000 ,"throughput": 25228
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 3152233 ,"operations": 1000000 ,"c": 4000 ,"throughput": 25378
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 3255968 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24570
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 3202210 ,"operations": 1000000 ,"c": 4000 ,"throughput": 24982
